1	1	2253	0	0
2	1	11229	656	0
3	1	3673	3560	0
4	1	3433	4572	0
5	1	2751	5524	0
6	1	5968	6304	0
7	1	2099	7892	0
8	1	2206	8516	0
9	1	4508	9164	0
10	1	3414	10388	0
11	1	2487	11340	0
12	1	1524	12060	0
13	1	9315	12540	0
14	1	2192	14968	0
15	1	2406	15612	0
16	1	3472	16312	0
17	1	1621	17276	0
18	1	3310	17780	0
19	1	1685	18704	0
20	1	1405	19224	0
21	1	3728	19672	0
22	1	7794	20700	0
23	1	19081	22748	0
24	1	11894	27616	0
25	1	10095	30688	0
26	1	1014	33308	0
27	1	8819	33660	0
28	1	19183	35964	0
29	1	16684	40856	0
30	1	11808	45124	0
31	1	1037	48172	0
32	1	1287	48528	0
33	1	11754	48948	0
34	1	10322	51984	0
35	1	23251	54664	0
36	1	4066	60576	0
37	1	1026	61692	0
38	1	40641	62048	0
39	1	4908	72308	0
40	1	27548	73632	0
41	1	2439	80616	0
42	1	21628	81324	0
43	1	25831	86828	0
44	1	5001	93384	0
45	1	1031	94732	0
46	1	2977	95088	0
47	1	3034	95932	0
48	1	16930	96788	0
49	1	8119	101120	0
50	1	18347	103248	0
51	1	1343	107932	0
52	1	2065	108364	0
53	1	3475	108980	0
54	1	1849	109948	0
55	1	1458	110508	0
56	1	3650	110972	0
57	1	3033	111984	0
58	1	8893	112840	0
59	1	3509	115160	0
60	1	2331	116136	0
61	1	4076	116816	0
62	1	4690	117932	0
63	1	1982	119204	0
64	1	2138	119796	0
65	1	6090	120428	0
66	1	11316	122048	0
67	1	1049	124976	0
68	1	2407	125336	0
69	1	7079	126036	0
70	1	1373	127904	0
71	1	3663	128344	0
72	1	2379	129356	0
73	1	13621	130048	0
74	1	8399	133552	0
75	1	1573	135748	0
76	1	1880	136240	0
77	1	1726	136808	0
78	1	1291	137336	0
79	1	1572	137756	0
80	1	3829	138248	0
81	1	6042	139304	0
82	1	13074	140912	0
83	1	1106	144280	0
84	1	15129	144656	0
85	1	2229	148536	0
86	1	2275	149192	0
87	1	2748	149860	0
88	1	1662	150644	0
89	1	4428	151156	0
90	1	1359	152360	0
91	1	3153	152796	0
92	1	9683	153684	0
93	1	2118	156204	0
94	1	8958	156832	0
95	1	10772	159168	0
96	1	3866	161960	0
97	1	2656	163024	0
98	1	2001	163784	0
99	1	2284	164384	0
100	1	2227	165052	0
101	1	2299	165708	0
102	1	8565	166380	0
103	1	48435	168620	0
104	1	3148	180828	0
105	1	2678	181712	0
106	1	50413	182480	0
107	1	4514	195180	0
108	1	4300	196408	0
109	1	1170	197580	0
110	1	33024	197972	0
111	1	1723	206324	0
112	1	2145	206852	0
113	1	2526	207488	0
114	1	20298	208216	0
115	1	1500	213388	0
116	1	6770	213860	0
117	1	1874	215652	0
118	1	2475	216220	0
119	1	4173	216936	0
120	1	1776	218076	0
